Section,Control ID,Control Activity,Evidence Required,Status,Notes
Control Environment - Integrity and Ethical Values,1.1.1,Code of Conduct established and communicated,"Code of Conduct document, signed acknowledgments",Not Started,
Control Environment - Integrity and Ethical Values,1.1.2,Ethics training completed by all employees,"Training records, completion certificates",Not Started,
Control Environment - Integrity and Ethical Values,1.1.3,Whistleblower policy in place,"Policy document, reporting mechanism",Not Started,
Control Environment - Integrity and Ethical Values,1.1.4,Conflict of interest policy enforced,"Signed disclosures, review records",Not Started,
Control Environment - Board Independence,1.2.1,Board charter documented,"Board charter, meeting minutes",Not Started,
Control Environment - Board Independence,1.2.2,Independent directors identified,Board composition documentation,Not Started,
Control Environment - Board Independence,1.2.3,Board oversight of internal controls documented,"Meeting minutes, reports",Not Started,
Control Environment - Organizational Structure,1.3.1,Org chart current and approved,"Organization chart, approval date",Not Started,
Control Environment - Organizational Structure,1.3.2,Roles and responsibilities defined,"Job descriptions, RACI matrix",Not Started,
Control Environment - Organizational Structure,1.3.3,Reporting lines clearly established,Reporting structure documentation,Not Started,
Risk Assessment - Risk Management Process,2.1.1,Risk assessment methodology documented,"Risk assessment policy, procedures",Not Started,
Risk Assessment - Risk Management Process,2.1.2,Risk register maintained and current,"Risk register with owners and dates",Not Started,
Risk Assessment - Risk Management Process,2.1.3,Risk assessments performed annually,"Risk assessment reports, dates",Not Started,
Risk Assessment - Risk Management Process,2.1.4,Risk treatment plans implemented,Risk treatment documentation,Not Started,
Risk Assessment - Fraud Risk Assessment,2.2.1,Fraud risk assessment completed,Fraud risk assessment report,Not Started,
Risk Assessment - Fraud Risk Assessment,2.2.2,Anti-fraud controls implemented,"Control documentation, monitoring",Not Started,
Risk Assessment - Fraud Risk Assessment,2.2.3,Fraud response plan documented,Incident response procedures,Not Started,
Information and Communication - Information Systems,3.1.1,Information system inventory maintained,"Asset inventory, system documentation",Not Started,
Information and Communication - Information Systems,3.1.2,Data classification policy implemented,"Classification policy, labeled data",Not Started,
Information and Communication - Information Systems,3.1.3,Information lifecycle management defined,"Retention schedules, disposal records",Not Started,
Information and Communication - Internal Communication,3.2.1,Security policies communicated to all staff,Policy distribution records,Not Started,
Information and Communication - Internal Communication,3.2.2,Change management communications established,Change notification records,Not Started,
Information and Communication - Internal Communication,3.2.3,Incident communication procedures defined,"Communication plan, templates",Not Started,
Monitoring Activities - Ongoing Monitoring,4.1.1,Control self-assessments performed,Self-assessment documentation,Not Started,
Monitoring Activities - Ongoing Monitoring,4.1.2,Key performance indicators monitored,"KPI dashboards, reports",Not Started,
Monitoring Activities - Ongoing Monitoring,4.1.3,Exception reporting implemented,"Exception reports, remediation",Not Started,
Monitoring Activities - Separate Evaluations,4.2.1,Internal audit function established,"Charter, audit plan, reports",Not Started,
Monitoring Activities - Separate Evaluations,4.2.2,External assessments conducted,Third-party assessment reports,Not Started,
Monitoring Activities - Separate Evaluations,4.2.3,Penetration testing performed annually,"Pen test reports, remediation",Not Started,
Monitoring Activities - Separate Evaluations,4.2.4,Vulnerability assessments conducted,"Scan reports, patch records",Not Started,
Logical and Physical Access - Identity Management,5.1.1,Unique user IDs required,"User ID policy, system configurations",Not Started,
Logical and Physical Access - Identity Management,5.1.2,Identity proofing procedures established,"Onboarding procedures, verification",Not Started,
Logical and Physical Access - Identity Management,5.1.3,Identity repository maintained,"Directory services, access logs",Not Started,
Logical and Physical Access - Authentication,5.2.1,Password policy enforced,"Password policy, system settings",Not Started,
Logical and Physical Access - Authentication,5.2.2,Multi-factor authentication implemented,"MFA configuration, coverage report",Not Started,
Logical and Physical Access - Authentication,5.2.3,Privileged access requires enhanced authentication,PAM system configuration,Not Started,
Logical and Physical Access - Authentication,5.2.4,Service accounts properly managed,"Service account inventory, monitoring",Not Started,
Logical and Physical Access - Authorization,5.3.1,Role-based access control (RBAC) implemented,"RBAC matrix, role definitions",Not Started,
Logical and Physical Access - Authorization,5.3.2,Access reviews performed quarterly,"Access review records, approvals",Not Started,
Logical and Physical Access - Authorization,5.3.3,Principle of least privilege enforced,"Access audits, privilege documentation",Not Started,
Logical and Physical Access - Authorization,5.3.4,Segregation of duties established,"SOD matrix, conflict analysis",Not Started,
Logical and Physical Access - Access Removal,5.4.1,Termination procedures documented,"HR procedures, exit checklist",Not Started,
Logical and Physical Access - Access Removal,5.4.2,Access revoked within 24 hours of termination,Access revocation logs,Not Started,
Logical and Physical Access - Access Removal,5.4.3,Transfer procedures include access updates,Transfer process documentation,Not Started,
Logical and Physical Access - Physical Access,5.5.1,Physical access controls implemented,"Badge systems, visitor logs",Not Started,
Logical and Physical Access - Physical Access,5.5.2,Data center access restricted,"Data center access logs, procedures",Not Started,
