Category,Control ID,Control Description,Evidence Required,Status,Notes,Priority
Corporate Security,G.1,Security policy exists and is approved,Policy document dated and signed,Pending,,High
Corporate Security,G.2,Security roles and responsibilities defined,Org chart with security roles,Pending,,High
Corporate Security,G.3,Security steering committee meets regularly,Meeting minutes from last 4 quarters,Pending,,Medium
Corporate Security,G.4,Security budget allocated and tracked,Budget documentation and actuals,Pending,,Medium
Corporate Security,G.5,Third-party risk management program,Vendor assessment procedures,Pending,,High
Risk Management,R.1,Risk assessment methodology defined,Risk assessment policy document,Pending,,High
Risk Management,R.2,Risk register maintained and current,Risk register with dates and owners,Pending,,High
Risk Management,R.3,Risk treatment plans implemented,Risk treatment documentation,Pending,,Medium
Risk Management,R.4,Risk acceptance documented and approved,Risk acceptance forms,Pending,,Medium
Risk Management,R.5,Emerging risks monitored,Threat intelligence reports,Pending,,Low
Access Control,AC.1,Unique user accounts required,User ID policy and system config,Pending,,High
Access Control,AC.2,Identity proofing process exists,Identity verification procedures,Pending,,High
Access Control,AC.3,Account provisioning automated,Provisioning system documentation,Pending,,Medium
Access Control,AC.4,Guest/contractor accounts managed,Guest account procedures,Pending,,Medium
Access Control,AC.5,Service accounts inventoried,Service account inventory,Pending,,High
Authentication,AU.1,Password policy enforced,Password policy and system settings,Pending,,High
Authentication,AU.2,MFA enabled for all users,MFA coverage report,Pending,,High
Authentication,AU.3,MFA enabled for privileged users,PAM system configuration,Pending,,Critical
Authentication,AU.4,MFA enabled for remote access,VPN/remote access logs,Pending,,Critical
Authentication,AU.5,Single sign-on (SSO) implemented,SSO configuration,Pending,,Medium
Authentication,AU.6,Password manager recommended/provided,Password manager deployment records,Pending,,Medium
Authorization,AZ.1,Role-based access control implemented,RBAC matrix documentation,Pending,,High
Authorization,AZ.2,Principle of least privilege enforced,Access review findings,Pending,,High
Authorization,AZ.3,Segregation of duties documented,SOD matrix,Pending,,High
Authorization,AZ.4,Access reviews performed quarterly,Access review records with dates,Pending,,High
Authorization,AZ.5,Privileged access monitored,PAM logs and reports,Pending,,Critical
Authorization,AZ.6,Just-in-time access for critical systems,JTIM implementation evidence,Pending,,Medium
Access Removal,AR.1,Termination checklist includes IT access,Termination checklist template,Pending,,High
Access Removal,AR.2,Access revoked within 24 hours,Access revocation logs,Pending,,Critical
Access Removal,AR.3,Access revocation automated where possible,Automation documentation,Pending,,Medium
Access Removal,AR.4,Transfer process updates access appropriately,Transfer procedures,Pending,,Medium
Data Protection,DC.1,Data classification policy exists,Classification policy document,Pending,,High
Data Protection,DC.2,Data inventory maintained,Data inventory with classifications,Pending,,High
Data Protection,DC.3,Data owners assigned,Data owner registry,Pending,,Medium
Data Protection,DC.4,Classification labels applied,System screenshots with labels,Pending,,Medium
Data Protection,DC.5,Handling procedures defined per classification,Data handling procedures,Pending,,Medium
Data Protection,DR.1,Encryption for critical data,Encryption configuration evidence,Pending,,Critical
Data Protection,DR.2,Encryption for confidential data,Encryption configuration evidence,Pending,,Critical
Data Protection,DR.3,Database encryption enabled,DB encryption settings,Pending,,High
Data Protection,DR.4,File server encryption enabled,Server encryption configuration,Pending,,High
Data Protection,DR.5,Endpoint encryption (full disk),MDM encryption reports,Pending,,High
Data Protection,DR.6,Key management program established,KMS documentation and procedures,Pending,,Critical
Data Protection,DT.1,TLS 1.2+ enforced for all connections,SSL/TLS scan results,Pending,,Critical
Data Protection,DT.2,Certificate management program,Certificate inventory and procedures,Pending,,High
Data Protection,DT.3,VPN required for remote access,VPN usage reports,Pending,,High
Data Protection,DT.4,Email encryption for sensitive data,DLP/email encryption logs,Pending,,Medium
